EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,OverTime,JobSatisfaction,DistanceFromHome,YearsAtCompany,Attrition
1,50,Female,Finance,Sales Executive,18206,No,3,2,12,No
2,36,Male,R&D,Financial Analyst,4378,Yes,2,11,0,No
3,29,Male,R&D,Technical Lead,4519,Yes,1,12,9,No
4,42,Male,Finance,Research Scientist,10935,Yes,2,28,2,Yes
5,40,Male,R&D,Software Developer,9093,No,3,18,3,No
6,44,Female,HR,Lab Technician,8355,No,2,13,15,Yes
7,32,Female,HR,HR Executive,12083,No,4,5,7,No
8,32,Female,R&D,HR Executive,8574,No,1,22,15,No
9,45,Male,IT,Software Developer,16324,No,2,12,16,No
10,57,Female,Finance,Research Scientist,5257,No,4,2,18,Yes
11,45,Male,HR,Technical Lead,16411,Yes,3,5,14,Yes
12,24,Female,IT,Financial Analyst,18233,No,2,7,15,No
13,43,Male,R&D,HR Executive,18887,No,3,26,14,No
14,23,Male,IT,Technical Lead,5005,No,4,26,1,No
15,45,Female,Sales,Research Scientist,13860,No,3,24,10,No
16,51,Female,HR,Software Developer,13070,No,4,12,0,No
17,59,Female,R&D,Sales Executive,12388,No,4,16,14,No
18,23,Female,Finance,Financial Analyst,17609,No,4,23,18,No
19,42,Male,R&D,Lab Technician,19363,No,2,8,3,No
20,54,Female,Finance,HR Executive,19923,No,3,28,10,No
21,33,Female,R&D,Research Scientist,17823,No,3,9,4,No
22,43,Female,IT,Sales Executive,11547,No,1,15,2,Yes
23,46,Male,IT,Lab Technician,14515,No,1,5,12,No
24,48,Male,IT,Manager,3234,Yes,1,13,9,Yes
25,49,Female,Sales,Research Scientist,17562,No,1,5,10,No
26,37,Male,Finance,Research Scientist,10480,Yes,3,11,17,No
27,36,Female,IT,Lab Technician,7213,No,4,10,1,No
28,24,Male,Sales,Sales Executive,13293,No,4,20,6,Yes
29,58,Male,Finance,Manager,4673,No,2,13,8,No
30,28,Male,R&D,Technical Lead,5100,Yes,4,9,9,Yes
31,42,Male,Sales,Technical Lead,14849,No,3,21,17,Yes
32,30,Female,HR,Software Developer,6841,Yes,3,14,6,No
33,39,Female,Sales,Sales Executive,13197,No,3,18,6,No
34,25,Female,Sales,Financial Analyst,11016,No,2,15,2,No
35,46,Male,Finance,HR Executive,10011,No,1,10,11,No
36,35,Female,R&D,Lab Technician,7493,No,4,24,6,No
37,30,Female,HR,Software Developer,11578,No,3,7,16,Yes
38,47,Female,IT,Manager,5158,Yes,3,8,0,No
39,23,Male,IT,Lab Technician,5064,No,1,28,4,No
40,41,Male,Sales,Lab Technician,6253,No,3,3,15,No
41,49,Male,Finance,Sales Executive,15828,No,4,15,14,No
42,28,Female,Finance,HR Executive,4401,No,2,16,1,No
43,29,Female,IT,Financial Analyst,18193,Yes,3,4,8,No
44,56,Female,HR,Technical Lead,15096,No,4,21,6,No
45,35,Male,R&D,Research Scientist,7214,No,3,6,3,No
46,38,Male,HR,Research Scientist,14023,No,1,1,19,Yes
47,57,Female,R&D,Lab Technician,14950,Yes,3,4,17,No
48,25,Male,IT,Technical Lead,13704,Yes,3,11,3,No
49,23,Male,R&D,Technical Lead,13343,No,2,12,12,No
50,27,Male,Finance,HR Executive,14867,No,1,26,0,Yes
51,25,Male,Sales,Manager,5745,Yes,1,29,2,Yes
52,50,Female,Sales,Manager,6866,No,2,5,15,No
53,39,Male,IT,Software Developer,14956,No,3,23,3,Yes
54,47,Male,Finance,Sales Executive,8818,No,4,29,15,No
55,55,Male,HR,HR Executive,19093,No,1,21,18,No
56,31,Male,Finance,HR Executive,18493,No,1,16,0,No
57,57,Female,Sales,Sales Executive,11224,No,3,13,4,No
58,35,Female,Sales,Technical Lead,7025,No,3,13,18,No
59,52,Male,Finance,Manager,9155,No,1,17,10,No
60,36,Male,Finance,Manager,16839,Yes,3,27,12,Yes
61,29,Male,Sales,Technical Lead,3719,Yes,4,7,19,Yes
62,35,Male,HR,Manager,17890,No,1,8,4,No
63,44,Male,IT,Lab Technician,7426,Yes,4,13,3,No
64,42,Male,IT,HR Executive,15512,No,4,23,3,No
65,37,Female,Finance,Research Scientist,18064,Yes,3,27,3,No
66,39,Male,IT,Sales Executive,16767,Yes,4,16,3,No
67,45,Female,Sales,Manager,14308,No,3,29,19,Yes
68,47,Female,Sales,Software Developer,14477,No,2,4,17,No
69,46,Male,Finance,Manager,15903,No,3,8,17,No
70,50,Female,Finance,Manager,11680,Yes,4,16,15,No
71,36,Female,Finance,Financial Analyst,5204,Yes,2,21,8,No
72,22,Female,HR,Lab Technician,4102,No,3,10,17,Yes
73,46,Female,IT,Sales Executive,8243,No,4,25,1,No
74,28,Female,Finance,Financial Analyst,9614,No,1,12,3,No
75,30,Female,R&D,Financial Analyst,19299,No,1,12,11,Yes
76,45,Male,R&D,Software Developer,11707,No,3,26,6,No
77,22,Female,Sales,HR Executive,16913,No,3,5,14,No
78,29,Female,IT,Software Developer,3630,No,1,16,6,No
79,45,Female,Finance,HR Executive,14908,No,4,1,16,No
80,32,Male,R&D,HR Executive,13847,No,4,28,15,Yes
81,38,Female,IT,Sales Executive,12171,No,4,9,18,No
82,29,Male,Sales,Manager,15721,No,3,12,8,No
83,56,Female,HR,Sales Executive,19661,No,2,5,13,No
84,56,Male,IT,Lab Technician,19616,Yes,2,22,16,Yes
85,54,Male,IT,HR Executive,12744,Yes,2,20,4,No
86,26,Female,HR,Financial Analyst,8690,No,2,22,1,No
87,49,Female,IT,Manager,16401,No,2,28,19,No
88,28,Male,Sales,Research Scientist,10659,Yes,3,24,15,No
89,30,Female,Sales,Lab Technician,13601,No,3,3,13,Yes
90,29,Male,HR,Sales Executive,14704,No,2,5,13,No
91,33,Male,Finance,Software Developer,3025,No,3,2,0,Yes
92,55,Male,R&D,Lab Technician,18384,No,3,14,2,No
93,54,Male,Finance,Lab Technician,16705,No,2,2,6,No
94,44,Male,IT,Manager,11652,Yes,4,13,14,No
95,45,Female,R&D,Lab Technician,16379,Yes,3,7,18,No
96,58,Male,HR,Lab Technician,10006,Yes,4,10,19,No
97,56,Male,HR,Research Scientist,11682,No,3,13,1,No
98,43,Female,R&D,Technical Lead,4072,Yes,3,16,18,Yes
99,48,Male,Sales,Software Developer,3215,No,2,26,8,Yes
100,56,Female,R&D,Software Developer,12915,No,3,14,18,No
101,22,Female,IT,Software Developer,12784,No,1,11,4,Yes
102,56,Female,Sales,HR Executive,17824,Yes,1,10,17,No
103,58,Male,HR,Financial Analyst,6313,Yes,2,6,15,No
104,35,Male,R&D,Technical Lead,14033,Yes,4,4,3,No
105,24,Male,Finance,Software Developer,12968,No,4,21,11,No
106,22,Female,Finance,Lab Technician,19241,No,4,1,6,No
107,26,Male,IT,Lab Technician,8939,Yes,1,7,13,No
108,47,Female,Finance,Software Developer,17696,Yes,4,24,11,No
109,35,Male,R&D,Manager,17794,Yes,4,9,2,No
110,48,Female,R&D,Software Developer,5295,Yes,2,8,4,Yes
111,30,Male,Finance,Lab Technician,4696,No,4,5,16,No
112,36,Male,R&D,HR Executive,14185,No,1,19,9,No
113,36,Male,IT,Sales Executive,15001,No,1,10,9,No
114,47,Female,Sales,Sales Executive,17350,No,1,11,10,Yes
115,34,Female,IT,Technical Lead,6644,Yes,2,25,16,Yes
116,53,Male,IT,Technical Lead,9420,No,2,15,4,No
117,53,Male,R&D,Software Developer,14837,No,3,6,12,No
118,25,Female,Sales,Research Scientist,9353,No,4,15,9,No
119,51,Female,R&D,Software Developer,13541,No,2,5,8,No
120,58,Female,HR,Manager,4932,Yes,1,29,16,No
121,44,Male,R&D,Software Developer,14486,Yes,1,19,0,No
122,36,Female,R&D,Technical Lead,4757,Yes,2,22,3,No
123,50,Male,R&D,Sales Executive,8085,No,2,19,3,Yes
124,57,Female,Sales,Lab Technician,8637,No,2,10,17,No
125,34,Male,R&D,Software Developer,4116,No,3,12,8,No
126,53,Female,Sales,Lab Technician,13759,No,1,22,17,No
127,28,Female,Finance,Lab Technician,14691,No,3,4,13,No
128,43,Female,HR,Research Scientist,3492,No,3,18,14,No
129,49,Female,Sales,Lab Technician,11811,Yes,4,16,5,No
130,23,Female,Finance,Sales Executive,9474,No,1,8,9,No
131,27,Male,Sales,HR Executive,17385,Yes,1,4,14,No
132,49,Female,Sales,HR Executive,12738,No,2,25,3,Yes
133,49,Female,HR,Financial Analyst,16979,No,2,23,17,Yes
134,41,Female,IT,Manager,14755,Yes,4,12,17,No
135,51,Male,IT,Software Developer,12797,No,3,2,16,No
136,32,Female,Sales,Manager,17607,No,2,4,11,No
137,49,Male,R&D,Sales Executive,15867,No,2,5,6,No
138,46,Female,Finance,Lab Technician,10866,No,1,3,15,No
139,54,Female,R&D,HR Executive,18449,No,1,9,10,No
140,22,Male,R&D,Manager,13685,Yes,2,29,13,Yes
141,48,Female,Sales,Sales Executive,8451,Yes,1,21,2,Yes
142,34,Male,Sales,HR Executive,11548,Yes,4,18,18,No
143,24,Male,Sales,Lab Technician,10186,No,2,11,17,Yes
144,27,Female,Sales,Manager,9102,Yes,1,3,9,No
145,29,Male,IT,HR Executive,3619,No,4,25,5,No
146,48,Female,Sales,Software Developer,3882,No,1,23,12,No
147,30,Female,IT,Technical Lead,6642,No,1,2,9,Yes
148,58,Male,IT,Software Developer,4296,No,1,9,17,No
149,54,Male,Sales,Financial Analyst,17122,No,2,14,19,No
150,45,Male,HR,Financial Analyst,5895,No,3,4,15,No
151,36,Male,Finance,HR Executive,8366,Yes,1,29,5,No
152,53,Female,R&D,Technical Lead,11711,Yes,4,9,12,Yes
153,53,Female,IT,Sales Executive,11199,No,2,13,3,No
154,45,Male,Finance,Software Developer,13717,Yes,2,18,13,No
155,33,Female,HR,Sales Executive,6423,Yes,4,15,0,No
156,23,Female,R&D,Technical Lead,13211,No,1,28,19,No
157,24,Female,R&D,Sales Executive,15782,Yes,3,10,4,No
158,58,Female,IT,Technical Lead,15474,No,1,16,7,Yes
159,38,Male,Sales,HR Executive,6667,Yes,4,12,11,No
160,23,Male,HR,Sales Executive,11277,No,2,20,1,No
161,23,Female,IT,Software Developer,15424,No,3,5,11,No
162,49,Male,HR,Lab Technician,11155,No,2,2,4,No
163,44,Male,Sales,Financial Analyst,6583,No,4,10,4,No
164,58,Male,Sales,Lab Technician,18515,No,1,1,12,No
